ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response,total_spend
8373,1979,Basic,Together,24594.0,1,0,10-12-2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0,29
8523,1968,Graduation,Married,19329.0,1,0,14-12-2013,39,24,1,16,12,2,5,3,4,0,3,8,0,0,0,0,0,0,3,11,0,60
5453,1956,Master,Married,90226.0,0,0,26-09-2012,26,1083,108,649,253,151,108,1,4,7,12,2,0,0,0,1,0,0,3,11,0,2352
10380,1972,Master,Married,37787.0,1,0,20-09-2013,50,40,1,40,4,3,18,1,3,0,3,8,0,0,0,0,0,0,3,11,0,106
9426,1964,Master,Single,58308.0,0,1,12-01-2013,77,691,0,69,10,0,130,4,2,6,3,8,0,0,0,0,0,0,3,11,0,900
1763,1988,Graduation,Together,87679.0,0,0,27-07-2013,62,1259,172,815,97,148,33,1,7,11,10,4,1,0,1,1,0,0,3,11,1,2524
10304,1959,Graduation,Married,18690.0,0,0,28-12-2012,77,6,1,7,23,4,19,1,1,1,2,8,0,0,0,0,0,0,3,11,0,60
10299,1969,PhD,Single,48240.0,0,0,09-11-2012,73,389,91,248,64,49,41,3,6,3,13,5,0,0,0,0,0,0,3,11,1,882
4706,1966,Graduation,Single,34704.0,0,1,27-04-2013,65,29,0,5,0,1,5,1,1,0,3,5,0,0,0,0,0,0,3,11,0,40
4356,1971,Graduation,Together,71819.0,0,1,28-08-2013,70,1224,28,140,0,14,168,3,3,3,5,6,0,1,1,0,0,0,3,11,0,1574
8786,1956,Master,Married,62058.0,0,1,26-05-2013,52,301,7,74,10,0,58,4,6,1,7,6,0,0,0,0,0,0,3,11,0,450
1245,1966,Graduation,Single,63810.0,0,1,11-11-2012,45,977,12,253,16,12,101,4,4,3,12,8,0,1,0,0,0,0,3,11,0,1371
1241,1984,2n Cycle,Married,14796.0,1,0,17-09-2012,1,13,3,8,7,4,16,2,1,0,3,9,0,0,0,0,0,0,3,11,1,51
2134,1952,Graduation,Single,53700.0,0,1,17-08-2012,94,263,5,233,69,41,83,4,5,5,8,5,0,0,0,0,0,0,3,11,0,694
3033,1963,Master,Together,38620.0,0,0,11-05-2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0,318
5371,1989,Graduation,Single,21474.0,1,0,08-04-2014,0,6,16,24,11,0,34,2,3,1,2,7,1,0,0,0,0,0,3,11,1,91
2942,1964,Graduation,Single,45906.0,0,1,07-05-2013,20,305,3,27,4,3,144,2,5,4,4,5,1,0,0,0,0,0,3,11,0,486
6690,1966,Master,Married,38179.0,1,1,14-03-2013,30,38,4,22,4,2,20,4,3,1,3,7,0,0,0,0,0,0,3,11,0,90
3386,1992,Graduation,Married,34935.0,0,0,21-06-2013,71,34,4,66,3,10,20,1,2,1,4,7,0,0,0,0,0,0,3,11,0,137
2807,1969,Graduation,Married,56796.0,0,1,16-02-2013,24,656,38,161,62,47,37,3,8,9,7,7,0,0,0,0,0,0,3,11,0,1001
7801,1959,Graduation,Together,54753.0,0,1,12-09-2013,87,197,107,227,7,59,131,3,5,2,11,4,0,0,0,0,0,0,3,11,0,728
5491,1951,Master,Together,47352.0,0,1,11-04-2013,70,172,12,112,8,0,15,4,6,1,5,7,0,0,0,0,0,0,3,11,0,319
4769,1977,Master,Together,57954.0,1,1,18-06-2014,52,456,4,24,0,0,9,7,8,2,6,7,0,1,0,0,0,0,3,11,0,493
6461,1969,Master,Single,62772.0,0,1,19-05-2013,74,581,49,157,43,8,108,1,5,6,11,2,0,1,0,0,0,0,3,11,0,946
7000,1972,2n Cycle,Single,65704.0,0,0,13-10-2013,18,279,172,74,38,8,246,1,2,10,10,1,0,0,0,0,0,0,3,11,0,817
10991,1960,Master,Married,89058.0,0,0,07-12-2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0,850
10466,1965,Graduation,Married,44393.0,1,1,22-08-2013,86,24,2,20,2,2,10,2,1,0,4,4,0,0,0,0,0,0,3,11,0,60
9612,1987,2n Cycle,Single,23830.0,0,0,07-02-2014,3,1,8,6,4,8,16,1,1,0,3,7,0,0,0,0,0,0,3,11,0,43
1,1961,Graduation,Single,57091.0,0,0,15-06-2014,0,464,5,64,7,0,37,1,7,3,7,5,0,0,0,0,1,0,3,11,1,577
7393,1978,Graduation,Together,41580.0,1,1,10-12-2012,15,56,5,24,4,0,3,3,2,1,3,5,0,0,0,0,0,0,3,11,0,92
10591,1969,Graduation,Widow,43638.0,0,1,06-08-2012,37,63,10,83,7,19,19,2,4,1,4,7,0,0,0,0,0,0,3,11,0,201
5150,1979,Basic,Single,20194.0,1,0,17-12-2012,64,0,4,7,11,10,15,2,2,0,3,6,0,0,0,0,0,0,3,11,0,47
3428,1991,PhD,Together,68682.0,0,0,06-10-2013,56,919,0,505,99,30,45,1,4,9,10,2,0,0,0,0,0,0,3,11,0,1598
10163,1984,PhD,Single,82733.0,0,0,10-09-2013,28,712,50,420,65,38,38,1,8,4,7,4,0,0,0,0,0,0,3,11,1,1323
2814,1976,Master,Together,30560.0,1,0,27-06-2013,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,3,11,0,31
1000,1961,Master,Together,74881.0,1,1,08-03-2013,48,505,72,270,36,27,54,4,9,2,12,5,0,0,0,0,0,0,3,11,0,964
5092,1949,PhD,Widow,51569.0,0,1,12-02-2013,39,380,0,47,6,0,34,4,7,1,7,8,0,1,0,0,0,0,3,11,1,467
1802,1971,Graduation,Married,64795.0,0,1,17-01-2013,23,412,5,119,38,29,77,3,3,3,12,2,0,0,0,0,0,0,3,11,0,680
1970,1968,Master,Together,34053.0,0,1,10-09-2012,14,63,0,21,7,0,12,1,3,0,3,8,0,0,0,0,0,0,3,11,0,103
7789,1965,PhD,Married,84618.0,0,0,22-11-2013,96,684,100,801,21,66,0,1,6,9,10,2,0,0,1,0,0,0,3,11,0,1672
1857,1952,Graduation,Single,47139.0,1,1,06-03-2014,2,46,0,12,0,2,23,2,2,1,2,7,0,0,0,0,0,0,3,11,1,83
9503,1980,Graduation,Single,28071.0,0,0,29-08-2012,65,39,33,130,41,26,44,2,5,1,5,8,0,0,0,0,0,0,3,11,0,313
10394,1984,Graduation,Married,90000.0,0,0,23-12-2013,91,675,144,133,94,192,241,1,4,8,5,1,1,0,1,1,0,0,3,11,0,1479
6935,1951,2n Cycle,Married,78497.0,0,0,01-12-2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0,978
4246,1982,Master,Single,6560.0,0,0,12-12-2013,2,67,11,26,4,3,262,0,1,0,1,17,0,0,0,0,0,0,3,11,0,373
3726,1986,PhD,Together,34320.0,1,0,16-02-2014,66,4,1,9,3,0,0,1,1,0,2,8,0,0,0,0,0,0,3,11,0,17
7224,1977,Graduation,Married,31353.0,1,1,29-12-2013,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,3,11,0,31
10395,1986,Basic,Single,8940.0,1,0,22-08-2012,25,1,45,3,4,6,42,3,3,1,3,8,0,0,0,0,0,0,3,11,0,101
2098,1969,PhD,Married,33581.0,2,0,08-01-2013,38,11,0,5,0,0,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,17
3696,1965,Graduation,Divorced,30630.0,1,1,27-01-2014,67,27,1,12,2,0,10,2,2,0,3,7,0,0,0,0,0,0,3,11,0,52
5125,1960,Graduation,Married,79530.0,0,0,17-05-2013,64,333,0,815,129,42,29,1,4,10,11,2,0,0,0,0,0,0,3,11,0,1348
4440,1964,Master,Married,64100.0,0,1,10-09-2013,93,509,0,27,0,0,10,1,8,3,6,7,0,1,0,0,0,0,3,11,0,546
8687,1978,Graduation,Together,53172.0,0,1,06-05-2013,54,121,62,90,68,20,125,3,2,3,8,3,0,0,0,0,0,0,3,11,0,486
4099,1972,Graduation,Married,30675.0,1,0,12-11-2012,14,10,2,16,11,2,21,1,1,0,3,8,0,0,0,0,0,0,3,11,0,62
8162,1956,Master,Together,14661.0,0,0,01-01-2013,88,4,1,11,6,2,2,1,1,0,3,6,0,0,0,0,0,0,3,11,0,26
1655,1979,Graduation,Together,34350.0,1,0,19-10-2013,81,16,3,15,2,1,11,1,1,0,3,7,0,0,0,0,0,0,3,11,0,48
9592,1983,Graduation,Together,22010.0,1,0,30-06-2013,51,11,2,9,3,0,8,2,2,0,3,8,0,0,0,0,0,0,3,11,0,33
9805,1953,Master,Together,56129.0,0,1,20-06-2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0,660
339,1972,PhD,Married,57091.0,0,1,23-11-2012,82,462,0,24,6,0,4,2,9,2,5,7,0,1,0,0,0,0,3,11,1,496
7321,1962,Graduation,Together,76081.0,0,0,23-05-2014,85,292,30,415,63,33,200,1,4,5,4,2,0,0,0,1,0,0,3,11,0,1033
8952,1953,Master,Married,65569.0,0,1,05-11-2012,96,397,46,288,20,38,70,2,6,5,10,3,0,0,0,0,0,0,3,11,0,859
1411,1952,Graduation,Divorced,82623.0,0,0,10-11-2013,58,204,34,204,172,153,173,1,2,9,4,1,0,0,0,0,0,0,3,11,0,940
5837,1967,Graduation,Married,51479.0,1,1,28-12-2012,67,247,8,160,6,8,65,7,6,3,6,7,0,0,0,0,0,0,3,11,0,494
9347,1956,Master,Together,50943.0,0,1,21-06-2013,49,31,0,7,2,0,6,1,1,0,3,5,0,0,0,0,0,0,3,11,0,46
7408,1952,PhD,Married,54549.0,0,1,03-03-2014,8,216,2,6,0,0,9,2,5,1,4,7,0,0,0,0,0,0,3,11,0,233
1618,1965,Graduation,Together,56046.0,0,0,02-01-2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1,692
5585,1972,Graduation,Single,21359.0,1,0,20-04-2013,1,12,2,17,6,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,1,48
2245,1969,Master,Married,43641.0,1,1,22-04-2013,50,57,2,51,4,2,23,3,2,1,4,6,0,0,0,0,0,0,3,11,0,139
5138,1950,Graduation,Together,28320.0,0,1,14-01-2013,68,19,1,14,3,2,4,1,1,0,3,8,0,0,0,0,0,0,3,11,0,43
4073,1954,2n Cycle,Married,63564.0,0,0,29-01-2014,0,769,80,252,15,34,65,1,10,10,7,6,1,0,0,0,0,0,3,11,1,1215
9606,1965,PhD,Married,69969.0,0,0,27-08-2013,64,882,29,514,38,29,44,1,4,2,6,3,0,0,1,1,0,0,3,11,1,1536
4200,1970,Master,Married,44159.0,1,0,17-06-2014,85,167,2,62,24,13,7,4,4,1,6,5,0,0,0,0,0,0,3,11,0,275
1379,1992,Master,Together,42670.0,0,0,27-04-2013,12,154,2,46,20,4,15,1,4,2,4,4,0,0,0,0,0,0,3,11,0,241
3766,1959,Master,Widow,33051.0,0,0,16-08-2012,15,100,71,243,108,94,219,3,9,1,8,9,0,0,0,0,0,0,3,11,1,835
895,1948,PhD,Married,61467.0,0,2,09-12-2012,69,410,16,114,0,5,49,3,5,2,10,5,0,0,0,0,0,0,3,11,0,594
3308,1952,Graduation,Married,35704.0,1,1,03-01-2014,54,30,9,12,2,11,30,3,2,0,4,4,0,0,0,0,0,0,3,11,0,94
528,1978,Graduation,Married,65819.0,0,0,29-11-2012,99,267,38,701,149,165,63,1,5,4,10,3,0,0,0,0,0,0,3,11,0,1383
2678,1990,Graduation,Single,34412.0,1,0,13-02-2013,62,52,12,50,4,36,55,3,5,0,3,9,0,0,0,0,0,0,3,11,0,209
4427,1995,2n Cycle,Single,83257.0,0,0,18-09-2012,56,536,27,590,38,107,67,1,5,10,12,6,1,0,1,0,0,1,3,11,1,1365
5236,1979,Graduation,Together,77568.0,0,1,25-08-2012,30,1230,0,396,232,178,158,1,10,2,8,5,0,1,1,1,0,0,3,11,0,2194
5827,1958,Graduation,Divorced,35246.0,1,1,16-04-2014,53,36,0,12,2,2,10,4,3,1,3,5,0,0,0,0,0,0,3,11,0,62
1490,1962,Graduation,Married,55759.0,0,1,28-11-2012,84,675,0,85,10,7,77,5,10,3,8,8,0,0,0,0,0,0,3,11,0,854
4548,1981,Graduation,Single,41967.0,1,1,23-11-2013,66,23,4,10,0,2,15,1,1,0,3,4,0,0,0,0,0,0,3,11,0,54
523,1989,Graduation,Married,37155.0,1,0,31-01-2013,51,23,0,26,7,15,3,1,2,0,4,5,0,0,0,0,0,0,3,11,0,74
2488,1956,2n Cycle,Divorced,31395.0,1,1,23-03-2013,80,23,1,25,0,8,7,4,2,1,3,6,0,0,0,0,0,0,3,11,0,64
6694,1964,Graduation,Married,75236.0,0,1,25-11-2013,27,438,66,400,12,38,114,1,8,3,13,4,0,0,0,0,0,0,3,11,0,1068
1859,1972,Master,Married,75251.0,0,0,27-08-2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1,1890
1577,1946,Graduation,Married,78569.0,0,0,19-02-2014,14,558,79,622,207,175,95,1,4,6,4,1,0,0,1,0,0,0,3,11,1,1736
6528,1982,Master,Together,18492.0,1,0,05-06-2014,75,2,2,2,2,1,1,1,1,0,2,8,0,0,0,0,0,0,3,11,0,10
9955,1954,Graduation,Together,39898.0,0,1,12-02-2013,20,69,8,26,12,7,12,2,3,0,4,7,0,0,0,0,0,0,3,11,0,134
6071,1989,Graduation,Single,81217.0,0,0,19-07-2013,77,493,70,324,146,40,84,1,3,7,11,1,0,0,0,0,0,0,3,11,0,1157
10925,1983,Graduation,Married,76630.0,0,0,14-01-2014,93,255,31,446,40,56,175,1,3,10,11,1,0,0,0,0,0,0,3,11,0,1003
1916,1954,Master,Married,45736.0,0,1,24-07-2013,92,188,3,180,20,3,43,5,7,1,6,7,0,0,0,0,0,0,3,11,0,437
1650,1960,Master,Married,81843.0,0,0,22-04-2013,13,779,86,537,34,69,138,1,5,9,12,3,0,0,0,0,0,0,3,11,0,1643
1065,1963,Graduation,Single,80695.0,0,0,29-12-2013,85,557,129,984,193,37,18,1,5,8,5,2,0,0,0,0,0,0,3,11,0,1918
10413,1984,Graduation,Married,72570.0,0,0,25-04-2014,67,274,83,216,151,141,224,1,4,6,12,1,0,0,0,0,0,0,3,11,0,1089
10157,1965,Graduation,Single,59686.0,0,1,25-01-2014,78,89,15,89,34,42,5,1,4,1,6,4,0,0,0,0,0,0,3,11,0,274
2661,1964,Graduation,Single,18701.0,1,1,04-06-2013,95,12,4,2,10,6,10,4,2,0,4,5,0,0,0,0,0,0,3,11,0,44
5846,1977,Graduation,Divorced,40246.0,1,0,19-12-2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0,13
10084,1972,Graduation,Married,24434.0,2,0,18-05-2014,9,3,2,8,20,0,17,2,2,1,2,7,0,0,0,0,0,0,3,11,0,50
1663,1978,PhD,Together,34043.0,1,0,25-10-2013,97,20,2,14,3,0,10,1,2,0,2,9,0,0,0,0,0,0,3,11,0,49
891,1951,Master,Together,29298.0,1,1,07-09-2013,60,6,0,2,2,0,1,1,1,0,2,5,0,0,0,0,0,0,3,11,0,11
5234,1967,2n Cycle,Together,30753.0,1,1,11-07-2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0,81
4817,1956,Graduation,Divorced,22304.0,0,0,04-08-2012,91,3,2,7,0,4,2,1,1,0,2,8,0,0,0,0,0,0,3,11,0,18
5177,1974,Master,Married,58494.0,0,1,12-12-2013,56,298,7,68,4,0,19,2,6,2,6,6,0,0,0,0,0,0,3,11,0,396
5336,1971,Master,Together,157733.0,1,0,04-06-2013,37,39,1,9,2,0,8,0,1,0,1,1,0,0,0,0,0,0,3,11,0,59
8132,1975,PhD,Married,60631.0,1,1,05-04-2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0,661
2518,1986,2n Cycle,Together,20491.0,0,0,25-01-2013,16,5,4,5,4,2,10,1,0,1,2,7,0,0,0,0,0,0,3,11,0,30
9949,1976,Graduation,Married,59809.0,0,2,18-10-2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0,877
6283,1968,Master,Divorced,63841.0,0,1,21-04-2013,64,635,15,100,20,7,131,1,9,3,9,6,0,0,0,0,0,0,3,11,0,908
4756,1952,2n Cycle,Divorced,63998.0,0,0,20-12-2013,42,176,29,818,0,33,112,1,7,6,11,4,0,0,0,0,0,0,3,11,1,1168
8140,1973,Graduation,Together,22682.0,1,0,03-10-2013,51,10,14,29,4,2,36,3,2,1,4,4,0,0,0,0,0,0,3,11,0,95
7899,1952,PhD,Married,77610.0,0,1,29-10-2012,70,1245,33,332,21,33,16,2,4,7,4,7,0,0,0,0,0,0,3,11,0,1680
1143,1972,Graduation,Married,22063.0,1,0,08-08-2013,43,7,10,13,3,11,11,2,2,0,3,7,0,0,0,0,0,0,3,11,0,55
10735,1971,Graduation,Single,22804.0,1,0,31-07-2013,75,14,1,7,2,1,1,1,2,0,2,9,0,0,0,0,0,0,3,11,0,26
450,1958,Master,Together,42315.0,0,1,12-07-2013,90,67,15,80,17,11,80,3,1,4,4,3,0,0,0,0,0,0,3,11,0,270
2631,1982,Graduation,Together,71853.0,0,0,08-05-2013,29,358,108,413,141,97,32,1,2,8,6,1,0,0,0,0,0,0,3,11,0,1149
9289,1979,Graduation,Married,36781.0,1,0,10-04-2014,16,29,1,17,0,3,13,1,2,1,2,8,0,0,0,0,0,0,3,11,1,63
5841,1966,Graduation,Together,60894.0,0,1,28-06-2013,61,606,7,155,10,0,54,5,10,3,8,7,0,0,0,0,0,0,3,11,0,832
6340,1985,Graduation,Single,29938.0,1,0,27-10-2013,52,3,3,7,0,2,11,2,1,0,3,6,0,0,0,0,0,0,3,11,0,26
3979,1983,PhD,Divorced,90687.0,0,0,22-05-2013,98,982,17,672,23,34,51,1,6,2,8,2,0,0,1,0,0,0,3,11,1,1779
10505,1960,Master,Together,73113.0,0,0,26-12-2013,86,741,19,154,50,9,28,1,3,4,7,2,0,0,0,0,0,0,3,11,0,1001
1878,1985,2n Cycle,Married,23148.0,0,0,18-02-2014,83,4,6,8,6,3,10,1,2,0,3,7,0,0,0,0,0,0,3,11,0,37
2079,1947,2n Cycle,Married,81044.0,0,0,27-12-2013,0,450,26,535,73,98,26,1,5,6,10,1,0,0,0,0,0,0,3,11,0,1208
6439,1958,Graduation,Married,61074.0,0,1,17-08-2012,37,789,0,133,0,28,152,7,11,5,8,7,0,0,0,0,0,0,3,11,0,1102
8895,1985,Graduation,Single,70596.0,0,0,05-10-2012,68,347,44,534,17,0,26,1,3,5,12,2,0,0,0,0,0,0,3,11,0,968
1406,1975,Graduation,Single,53201.0,1,1,12-02-2013,49,280,7,81,20,0,27,8,6,3,5,7,0,0,0,0,0,0,3,11,0,415
10837,1975,Graduation,Married,23957.0,1,0,28-10-2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1,68
5552,1963,Master,Divorced,48721.0,1,1,13-05-2013,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,3,11,0,293
2546,1977,2n Cycle,Single,31878.0,0,1,22-06-2014,7,23,4,5,10,5,23,1,1,0,4,3,0,0,0,0,0,0,3,11,0,70
10983,1952,Graduation,Together,75278.0,0,0,29-01-2013,17,304,98,230,150,74,74,1,6,3,13,3,0,0,0,0,0,0,3,11,0,930
5462,1974,Graduation,Married,67445.0,0,1,12-08-2012,63,757,80,217,29,80,11,5,9,6,12,6,0,0,0,0,0,0,3,11,0,1174
4609,1966,PhD,Married,57705.0,0,1,11-01-2014,14,383,0,53,6,4,40,3,8,1,6,6,0,0,0,0,0,0,3,11,0,486
8443,1972,Graduation,Single,24762.0,1,0,10-02-2014,16,6,10,12,3,15,40,3,3,1,2,8,1,0,0,0,0,0,3,11,1,86
1501,1982,PhD,Married,160803.0,0,0,04-08-2012,21,55,16,1622,17,3,4,15,0,28,1,0,0,0,0,0,0,0,3,11,0,1717
8462,1978,Basic,Together,24882.0,1,0,09-09-2012,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,3,11,0,80
4690,1953,Graduation,Married,50725.0,0,1,13-02-2013,45,443,10,75,0,10,48,4,8,1,8,8,0,0,0,0,0,0,3,11,0,586
9543,1985,Graduation,Married,19986.0,1,0,14-11-2013,74,3,6,5,0,2,6,1,0,0,3,7,0,0,0,0,0,0,3,11,0,22
4381,1971,PhD,Married,46463.0,1,1,18-08-2013,56,163,2,40,8,11,11,7,3,1,6,6,0,0,0,0,0,0,3,11,0,235
1519,1972,PhD,Single,38578.0,1,1,22-06-2013,2,38,4,22,3,3,3,3,3,0,3,8,0,0,0,0,0,0,3,11,1,73
1461,1965,PhD,Divorced,36921.0,1,1,28-07-2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0,38
8146,1976,Master,Together,46106.0,1,1,11-05-2014,84,30,0,8,2,0,14,1,1,1,2,6,0,0,0,0,0,0,3,11,0,54
1600,1965,Master,Married,56962.0,2,1,11-10-2013,60,292,3,77,10,3,26,7,6,3,5,7,0,0,0,0,0,0,3,11,0,411
7369,1981,Master,Married,36959.0,1,0,02-10-2013,56,25,6,25,6,0,0,2,2,0,3,8,0,0,0,0,0,0,3,11,0,62
8650,1978,Graduation,Widow,54162.0,1,1,18-03-2013,31,5,6,10,6,5,10,1,1,0,3,4,0,0,0,0,0,0,3,11,0,42
4127,1967,PhD,Married,77766.0,0,1,22-02-2013,97,1004,59,265,115,59,27,2,11,10,11,6,1,0,0,0,0,0,3,11,1,1529
6260,1955,Master,Together,82384.0,0,0,19-11-2012,55,984,51,432,180,120,190,1,3,10,13,1,0,0,1,0,0,0,3,11,1,1957
4338,1983,Graduation,Single,39062.0,1,0,25-03-2014,28,23,0,9,0,0,12,1,1,0,3,4,1,0,0,0,0,0,3,11,0,44
4937,1973,2n Cycle,Married,46094.0,1,1,10-06-2014,62,12,2,20,3,2,5,1,1,0,3,7,0,0,0,0,0,0,3,11,0,44
4480,1973,Master,Married,60432.0,0,1,09-03-2014,61,365,3,15,4,3,11,5,7,2,5,6,0,0,0,0,0,0,3,11,0,401
3478,1971,PhD,Married,60585.0,1,1,24-06-2013,17,267,42,309,55,42,21,10,7,4,9,5,0,0,0,0,0,0,3,11,1,736
247,1971,Graduation,Married,36715.0,1,0,17-11-2012,16,172,10,125,21,13,16,6,7,2,4,9,0,0,0,0,0,0,3,11,1,357
2156,1955,PhD,Married,22554.0,1,1,03-11-2012,38,27,0,10,0,0,4,4,2,0,4,5,0,0,0,0,0,0,3,11,0,41
2711,1976,Master,Together,30560.0,1,0,27-06-2013,6,9,1,5,4,5,7,1,1,0,3,7,0,0,0,0,0,0,3,11,0,31
7366,1982,Master,Single,75777.0,0,0,04-07-2013,12,712,26,538,69,13,80,1,3,6,11,1,0,1,1,0,0,0,3,11,1,1438
3129,1983,Graduation,Married,30096.0,1,0,22-05-2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0,45
6257,1976,Master,Single,60482.0,0,1,23-01-2013,81,255,43,134,37,14,24,1,7,2,7,7,0,0,0,0,0,0,3,11,0,507
3298,1956,Master,Married,52973.0,0,1,08-11-2012,92,856,0,76,12,9,199,7,9,6,9,8,0,0,0,0,0,0,3,11,0,1152
8541,1990,2n Cycle,Married,24683.0,1,0,08-03-2014,98,8,4,10,6,7,6,2,2,0,4,5,0,0,0,0,0,0,3,11,0,41
5596,1956,2n Cycle,Together,58821.0,0,1,12-10-2013,44,513,14,154,19,0,28,1,9,2,9,6,0,0,0,0,0,0,3,11,0,728
